ID,Countries,Number_of_Crypto_Ownership
1,India,103317638
2,China,58187265
3,United States,44959854
4,Vietnam,20301468
5,Pakistan,15400547
6,Philippines,15279906
7,Brazil,15113232
8,Nigeria,12862740
9,Indonesia,12615365
10,Iran,12000000
11,Russia,8485749
12,Thailand,6692796
13,Saudi Arabia,6476813
14,South Africa,6041450
15,Japan,5096970
16,Ethiopia,5079631
17,Turkey,4684727
18,Mexico,4356394
19,Bangladesh,4197718
20,France,3820638
21,Ukraine,3784697
22,United Kingdom,3740280
23,Germany,3490926
24,Egypt,3326467
25,Venezuela,2970365
26,Kenya,2713117
27,United Arab Emirates,2633001
28,Argentina,2544102
29,Colombia,2505605
30,South Korea,2059015
31,Morocco,1854162
32,Congo,1712781
33,Canada,1608595
34,Tanzania,1576608
35,Italy,1428685
36,Spain,1425589
37,Nepal,1369467
38,Poland,1148730
39,Malaysia,1040179
40,Algeria,994441
41,Peru,857040
42,Singapore,837851
43,Iraq,822055
44,Myanmar,784984
45,Ghana,738074
46,Australia,705743
47,Ecuador,675156
48,Mozambique,613753
49,Cambodia,565577
50,Uganda,563401
