Date,Open,High,Low,Close,percentage_difference
2019-01-01,131.9,140.51,130.67,139.61,5.522527039610348
2019-01-02,139.58,155.93,138.74,152.95,8.741418764302045
2019-01-03,152.96,154.3,144.39,146.94,-4.096910303525256
2019-01-04,146.94,155.4,145.29,152.86,3.872824807012963
2019-01-05,152.87,159.78,152.84,153.49,0.40393510977914165
2019-01-06,153.48,158.29,148.63,154.96,0.9550851832731143
2019-01-07,154.96,156.36,148.47,149.96,-3.3342224593224854
2019-01-08,149.96,152.21,146.29,148.41,-1.0444040159019012
2019-01-09,148.41,152.57,147.95,148.79,0.2553935076281978
2019-01-10,148.78,150.09,121.98,125.63,-18.427127278516284
2019-01-11,125.61,127.83,121.28,125.15,-0.3675589292848531
2019-01-12,125.15,126.15,122.73,123.75,-1.131313131313136
2019-01-13,123.75,124.09,112.79,114.64,-7.946615491974877
2019-01-14,114.65,130.3,114.62,127.53,10.099584411511014
2019-01-15,127.55,129.6,116.9,119.62,-6.629326199632161
2019-01-16,119.59,126.5,119.1,121.72,1.7499178442326613
2019-01-17,121.71,123.03,117.51,122.03,0.2622305990330307
2019-01-18,122.02,122.19,118.27,119.34,-2.245684598625769
2019-01-19,119.34,125.37,119.34,123.02,2.991383514875624
2019-01-20,123.0,123.52,116.25,117.52,-4.663036078965286
2019-01-21,117.52,118.04,114.15,116.05,-1.266695389918138
2019-01-22,116.05,119.47,112.36,118.23,1.8438636555865744
2019-01-23,118.23,119.01,115.52,116.84,-1.1896610749743244
2019-01-24,116.84,117.32,114.93,116.71,-0.11138719904036473
2019-01-25,116.7,117.41,115.03,115.5,-1.0389610389610413
2019-01-26,115.5,117.63,115.37,115.83,0.28490028490028346
2019-01-27,115.83,116.24,112.03,112.5,-2.959999999999998
2019-01-28,112.5,113.14,101.6,105.82,-6.31260631260632
2019-01-29,105.82,107.32,102.89,104.79,-0.9829182173871427
2019-01-30,104.76,109.67,103.82,108.52,3.4647991153704303
2019-01-31,108.51,110.56,105.86,106.71,-1.6868147315153328
2019-02-01,106.74,108.54,104.41,106.98,0.22434099831745102
2019-02-02,106.99,111.16,106.29,110.68,3.333935670401167
2019-02-03,110.67,111.25,106.36,107.62,-2.8340457164095865
2019-02-04,107.63,109.24,106.95,107.9,0.250231696014838
2019-02-05,107.91,108.32,106.6,107.37,-0.5029337803855751
2019-02-06,107.37,107.67,102.28,104.63,-2.6187517920290637
2019-02-07,104.63,106.12,104.29,104.55,-0.07651841224294434
2019-02-08,104.55,122.58,103.89,119.23,12.312337498951612
2019-02-09,119.27,121.09,117.96,119.44,0.14233087742799874
2019-02-10,119.44,125.46,116.42,124.92,4.386807556836379
2019-02-11,124.94,125.05,119.55,121.3,-3.0008244023083273
2019-02-12,121.32,123.99,119.28,122.64,1.076320939334644
2019-02-13,122.66,126.17,121.06,122.22,-0.36000654557355405
2019-02-14,122.21,124.46,120.44,120.97,-1.0250475324460568
2019-02-15,120.97,124.0,120.87,121.73,0.6243325392261604
2019-02-16,121.72,124.5,121.71,122.87,0.9359485635224266
2019-02-17,122.88,135.27,122.78,133.79,8.154570595709693
2019-02-18,133.79,147.64,125.07,145.8,8.237311385459547
2019-02-19,145.79,149.84,143.8,144.01,-1.2360252760224992
2019-02-20,144.02,149.46,140.88,149.11,3.4135872845550286
2019-02-21,149.01,149.55,143.5,145.78,-2.2156674440938326
2019-02-22,145.79,148.83,144.27,147.97,1.4732716091099594
2019-02-23,147.97,159.31,146.28,158.3,6.525584333543912
2019-02-24,158.31,165.79,132.87,132.93,-19.092755585646575
2019-02-25,132.94,141.57,132.85,138.27,3.8547768858031475
2019-02-26,138.26,138.66,134.48,136.67,-1.1633862588717374
2019-02-27,136.66,159.6,128.15,135.2,-1.0798816568047396
2019-02-28,135.2,138.56,133.09,135.47,0.19930611943604504
2019-03-01,135.47,138.06,128.46,135.72,0.18420277040966695
2019-03-02,135.72,136.36,130.74,132.76,-2.2295872250677977
2019-03-03,132.77,168.42,129.05,131.01,-1.343408900083978
2019-03-04,131.02,131.57,123.25,125.97,-4.008891005795039
2019-03-05,125.97,141.11,125.44,136.82,7.930127174389705
2019-03-06,136.82,149.49,133.94,137.62,0.5813108559802437
2019-03-07,137.62,139.98,135.72,136.93,-0.5039071058204905
2019-03-08,136.93,139.45,131.66,133.85,-2.301083302203969
2019-03-09,133.84,138.57,133.38,137.52,2.6759744037230995
2019-03-10,137.52,137.75,134.53,135.72,-1.3262599469496106
2019-03-11,135.72,136.23,131.66,132.99,-2.052785923753658
2019-03-12,132.99,134.93,129.14,133.8,0.6053811659192841
2019-03-13,133.81,133.84,131.2,131.97,-1.3942562703644794
2019-03-14,131.97,134.82,130.48,132.45,0.3624009060022573
2019-03-15,132.44,137.68,132.44,136.75,3.151736745886656
2019-03-16,136.77,143.95,136.75,141.15,3.103081827842717
2019-03-17,141.15,141.17,137.61,138.91,-1.6125548916564747
2019-03-18,138.91,141.87,136.86,137.92,-0.7178074245939742
2019-03-19,137.92,139.5,137.1,138.72,0.5767012687427994
2019-03-20,138.72,139.75,136.56,139.31,0.42351589979183357
2019-03-21,139.32,139.74,133.05,135.11,-3.1159795722004135
2019-03-22,135.11,137.44,134.65,136.42,0.9602697551678449
2019-03-23,136.42,138.3,135.76,137.53,0.8070966334618
2019-03-24,137.53,137.53,135.5,136.44,-0.7988859571973053
2019-03-25,136.44,137.05,132.36,134.25,-1.6312849162011156
2019-03-26,134.25,134.99,132.61,134.37,0.0893056485822762
2019-03-27,134.37,140.08,133.89,139.65,3.780880773361977
2019-03-28,139.63,140.33,137.68,138.15,-1.07129931234165
2019-03-29,138.17,143.53,138.13,143.38,3.6337006556005083
2019-03-30,143.38,145.85,140.43,142.65,-0.5117420259376023
2019-03-31,142.65,142.69,140.71,141.79,-0.6065307849636883
2019-04-01,141.77,143.28,140.26,141.5,-0.19081272084806375
2019-04-02,141.5,165.42,141.29,163.47,13.43977488224139
2019-04-03,163.47,177.29,152.24,160.34,-1.952101783709614
2019-04-04,160.34,164.33,153.26,157.43,-1.848440576764274
2019-04-05,157.43,167.34,156.42,164.93,4.547383738555751
2019-04-06,164.93,172.53,160.22,165.55,0.37450921171851675
2019-04-07,165.58,175.37,164.17,174.33,5.019216428612401
2019-04-08,174.32,185.54,171.87,179.16,2.7014958696137548
2019-04-09,179.16,179.24,172.15,175.09,-2.3245188188931367
2019-04-10,175.09,183.49,171.61,177.37,1.285448497491121
2019-04-11,177.39,177.63,159.6,164.36,-7.927719639815023
2019-04-12,164.37,166.08,158.93,163.47,-0.5505597357313303
2019-04-13,163.46,165.27,161.34,163.19,-0.16545131441878191
2019-04-14,163.19,168.18,161.52,167.29,2.4508338812839945
2019-04-15,167.3,168.63,153.65,160.17,-4.451520259724059
2019-04-16,160.16,166.64,159.52,165.65,3.314216722004231
