id,pop,id_pop,imfGDP,unGDP,countries,gdpPerCapita,continent,rank
1,341814.42,840,2.69E+13,2.33E+13,United States,78842.89961,North America,1
2,1425178.782,156,1.77E+13,1.77E+13,China,12420.12597,Asia,2
3,83252.474,276,4.43E+12,4.26E+12,Germany,53209.71002,Europe,3
4,122631.432,392,4.23E+12,4.94E+12,Japan,34500.61645,Asia,4
5,1441719.852,356,3.73E+12,3.20E+12,India,2588.727619,Asia,5
6,67961.439,826,3.33E+12,3.13E+12,United Kingdom,49028.68522,Europe,6
7,64881.83,250,3.05E+12,2.96E+12,France,46993.43406,Europe,7
8,58697.744,380,2.19E+12,2.11E+12,Italy,37242.99864,Europe,8
9,217637.297,76,2.13E+12,1.61E+12,Brazil,9772.268032,South America,9
10,39107.046,124,2.12E+12,1.99E+12,Canada,54154.17979,North America,10
11,143957.079,643,1.86E+12,1.78E+12,Russia,12937.67568,Europe,11
12,129388.467,484,1.81E+12,1.27E+12,Mexico,14000.24316,North America,12
13,51741.963,410,1.71E+12,1.81E+12,South Korea,33033.72932,Asia,13
14,26699.482,36,1.69E+12,1.73E+12,Australia,63211.33871,Oceania,14
15,47473.373,724,1.58E+12,1.43E+12,Spain,33324.99673,Europe,15
16,279798.049,360,1.42E+12,1.19E+12,Indonesia,5065.760841,Asia,16
17,86260.417,792,1.15E+12,8.19E+11,Turkey,13385.05006,Europe,17
18,17671.125,528,1.09E+12,1.01E+12,Netherlands,61838.1682,Europe,18
19,37473.929,682,1.07E+12,8.34E+11,Saudi Arabia,28538.24055,Asia,19
20,8851.431,756,9.06E+11,8.13E+11,Switzerland,102320.6304,Europe,20
21,40221.726,616,8.42E+11,6.79E+11,Poland,20938.23622,Europe,21
22,23950.214,158,7.52E+11,0,Taiwan,31395.54411,Asia,22
23,11715.774,56,6.28E+11,5.94E+11,Belgium,53561.20731,Europe,23
24,46057.866,32,6.22E+11,4.87E+11,Argentina,13501.12487,South America,24
25,10673.669,752,5.97E+11,6.36E+11,Sweden,55942.3381,Europe,25
26,5089.478,372,5.90E+11,5.04E+11,Ireland,115840.7601,Europe,26
27,5514.477,578,5.47E+11,4.82E+11,Norway,99151.37918,Europe,27
28,8977.139,40,5.26E+11,4.80E+11,Austria,58613.5516,Europe,28
29,9311.652,376,5.22E+11,4.82E+11,Israel,56025.2896,Asia,29
30,71885.799,764,5.12E+11,5.06E+11,Thailand,7125.092955,Asia,30
31,9591.853,784,5.09E+11,4.05E+11,United Arab Emirates,53084.52913,Asia,31
32,6052.709,702,4.97E+11,3.97E+11,Singapore,82169.32286,Asia,32
33,174701.211,50,4.46E+11,4.15E+11,Bangladesh,2554.927911,Asia,33
34,119106.224,608,4.36E+11,3.94E+11,Philippines,3657.869298,Asia,34
35,99497.68,704,4.33E+11,3.66E+11,Vietnam,4355.438237,Asia,35
36,34671.895,458,4.31E+11,3.73E+11,Malaysia,12427.78914,Asia,36
37,5939.695,208,4.21E+11,3.98E+11,Denmark,70845.38853,Europe,37
38,114484.252,818,3.98E+11,4.26E+11,Egypt,3479.928401,Africa,38
39,229152.217,566,3.90E+11,4.31E+11,Nigeria,1701.934221,Africa,39
40,7496.681,344,3.86E+11,3.69E+11,Hong Kong,51428.89233,Asia,40
41,61020.221,710,3.81E+11,4.19E+11,South Africa,6242.291387,Africa,41
42,89809.781,364,3.66E+11,5.95E+11,Iran,4080.156926,Asia,42
43,52340.774,170,3.64E+11,3.14E+11,Colombia,6951.272826,South America,43
44,19618.996,642,3.50E+11,2.84E+11,Romania,17860.95476,Europe,44
45,19658.839,152,3.44E+11,3.17E+11,Chile,17518.8372,South America,45
46,245209.815,586,3.41E+11,3.43E+11,Pakistan,1389.16136,Asia,46
47,10503.734,203,3.35E+11,2.82E+11,Czech Republic,31916.55463,Europe,47
48,5549.886,246,3.06E+11,2.97E+11,Finland,55080.23048,Europe,48
49,10223.349,620,2.76E+11,2.54E+11,Portugal,27039.28038,Europe,49
50,34683.444,604,2.65E+11,2.23E+11,Peru,7630.038124,South America,50
51,19828.165,398,2.59E+11,1.93E+11,Kazakhstan,13076.95392,Europe,51
52,46523.657,368,2.55E+11,2.04E+11,Iraq,5480.931991,Asia,52
53,5269.939,554,2.49E+11,2.50E+11,New Zealand,47327.8723,Oceania,53
54,10302.72,300,2.42E+11,2.15E+11,Greece,23526.3115,Europe,54
55,2737.061,634,2.36E+11,1.80E+11,Qatar,86041.19528,Asia,55
56,46278.751,12,2.24E+11,1.63E+11,Algeria,4842.54642,Africa,56
57,9994.993,348,2.04E+11,1.82E+11,Hungary,20393.11083,Europe,57
58,37937.821,804,1.73E+11,2.00E+11,Ukraine,4570.979446,Europe,58
59,4349.38,414,1.60E+11,1.37E+11,Kuwait,36714.8881,Asia,59
60,129719.719,231,1.56E+11,99268512532,Ethiopia,1201.081849,Africa,60
61,38211.459,504,1.47E+11,1.43E+11,Morocco,3855.989901,Africa,61
62,5702.832,703,1.33E+11,1.17E+11,Slovakia,23329.46157,Europe,62
63,11434.005,214,1.21E+11,94243426487,Dominican Republic,10550.02162,North America,63
