Countries,Number_of_Crypto_Ownership
India,103317638
China,58187265
United States,44959854
Vietnam,20301468
Pakistan,15400547
Philippines,15279906
Brazil,15113232
Nigeria,12862740
Indonesia,12615365
Iran,12000000
Russia,8485749
Thailand,6692796
Saudi Arabia,6476813
South Africa,6041450
Japan,5096970
Ethiopia,5079631
Turkey,4684727
Mexico,4356394
Bangladesh,4197718
France,3820638
Ukraine,3784697
United Kingdom,3740280
Germany,3490926
Egypt,3326467
Venezuela,2970365
Kenya,2713117
United Arab Emirates,2633001
Argentina,2544102
Colombia,2505605
South Korea,2059015
Morocco,1854162
DR Congo,1712781
Canada,1608595
Tanzania,1576608
Italy,1428685
Spain,1425589
Nepal,1369467
Poland,1148730
Malaysia,1040179
Algeria,994441
Peru,857040
Singapore,837851
Iraq,822055
Myanmar,784984
Ghana,738074
Australia,705743
Ecuador,675156
Mozambique,613753
Cambodia,565577
Uganda,563401
