"place","pop2023","growthRate","area","country","cca3","cca2","ccn3","region","subregion","unMember","officialName","landAreaKm","density","densityMi","Rank","CryptoCurrencyStatus","CryptoCurrencyNotes","Column_19","Column_20","Column_21"
356,1428627663,"0.00808","3287590.0","India","IND","IN",356,"Asia","Southern Asia, South Central Asia","TRUE","Republic of India","2973190.0","480.5033","1244.5036",1,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
156,1425671352,"-0.00015","9706961.0","China","CHN","CN",156,"Asia","Eastern Asia","TRUE","People's Republic of China","9424702.9","151.2696","391.7884",2,"Absolute ban","Financial institutions may not process crypto-related transactions. Crypto trading and mining were banned 24 Sept. 2021",NULL,NULL,NULL
840,339996563,"0.00505","9372610.0","United States","USA","US",840,"North America","Northern America","TRUE","United States of America","9147420.0","37.1686","96.2666",3,"Legal to use/Undefined","Tax laws and AML/CFT laws apply",NULL,NULL,NULL
360,277534122,"0.00738","1904569.0","Indonesia","IDN","ID",360,"Asia","South-Eastern Asia","TRUE","Republic of Indonesia","1877519.0","147.8196","382.8528",4,"Implicit ban","While technically not outlawed, a Nov 2021 ruling determined that Muslim law forbids the possession or trading of any cryptocurrency that lacks a physical form (among other requirements)",NULL,NULL,NULL
586,240485658,"0.01976","881912.0","Pakistan","PAK","PK",586,"Asia","Southern Asia, South Central Asia","TRUE","Islamic Republic of Pakistan","770880.0","311.9625","807.9829",5,"Implicit ban","Banks and other financial institutions may not process, use, trade, hold, or invest in virtual currencies. However, the Khyber Pakhtunkhwa province moved to legalize crypto in Dec. 2020",NULL,NULL,NULL
566,223804632,"0.02408","923768.0","Nigeria","NGA","NG",566,"Africa","Western Africa, Sub-Saharan Africa","TRUE","Federal Republic of Nigeria","910770.0","245.7312","636.4439",6,"Implicit ban","Banks and other financial institutions may not use, hold, trade, or transact in virtual currencies. ",NULL,NULL,NULL
76,216422446,"0.00515","8515767.0","Brazil","BRA","BR",76,"South America","South America, Latin America","TRUE","Federative Republic of Brazil","8358140.0","25.8936","67.0645",7,"Legal to use/Undefined","Crypto is taxed (Tax laws apply)",NULL,NULL,NULL
50,172954319,"0.01033","147570.0","Bangladesh","BGD","BD",50,"Asia","Southern Asia, South Central Asia","TRUE","People's Republic of Bangladesh","130170.0","1328.6803","3441.2821",8,"Absolute ban","All crypto transactions are prohibited",NULL,NULL,NULL
643,144444359,"-0.00186","17098242.0","Russia","RUS","RU",643,"Europe","Eastern Europe","TRUE","Russian Federation","16376870.0","8.8200","22.8439",9,"Implicit ban","Crypto disallowed as a payment method, but Russia announced in 2022 that it would begin to support crypto rather than prohibit it. Tax laws and AML/CFT laws apply",NULL,NULL,NULL
484,128455567,"0.00746","1964375.0","Mexico","MEX","MX",484,"North America","Central America, Latin America","TRUE","United Mexican States","1943950.0","66.0797","171.1463",10,"Legal to use/Undefined","AML/CFT laws apply",NULL,NULL,NULL
