"pop","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
"341814.420",840,"26949640000000","23315081000000","United States","78842.8996100","North America",1
"1425178.782",156,"17700900000000","17734130897320","China","12420.1259700","Asia",2
"83252.474",276,"4429840000000","4259934911822","Germany","53209.7100200","Europe",3
"122631.432",392,"4230860000000","4940877780755","Japan","34500.6164500","Asia",4
"1441719.852",356,"3732220000000","3201470939447","India","2588.7276190","Asia",5
"67961.439",826,"3332060000000","3131377762926","United Kingdom","49028.6852200","Europe",6
"64881.830",250,"3049020000000","2957879759264","France","46993.4340600","Europe",7
"58697.744",380,"2186080000000","2107702842670","Italy","37242.9986400","Europe",8
"217637.297",76,"2126810000000","1608981300888","Brazil","9772.2680320","South America",9
"39107.046",124,"2117810000000","1988336331717","Canada","54154.1797900","North America",10
"143957.079",643,"1862470000000","1778781592987","Russia","12937.6756800","Europe",11
"129388.467",484,"1811470000000","1272838810896","Mexico","14000.2431600","North America",12
"51741.963",410,"1709230000000","1810966372414","South Korea","33033.7293200","Asia",13
"26699.482",36,"1687710000000","1734531941857","Australia","63211.3387100","Oceania",14
"47473.373",724,"1582050000000","1427380681295","Spain","33324.9967300","Europe",15
"279798.049",360,"1417390000000","1186092991320","Indonesia","5065.7608410","Asia",16
"86260.417",792,"1154600000000","819034484303","Turkey","13385.0500600","Europe",17
"17671.125",528,"1092750000000","1012846760977","Netherlands","61838.1682000","Europe",18
"37473.929",682,"1069440000000","833541236569","Saudi Arabia","28538.2405500","Asia",19
"8851.431",756,"905684000000","812866928867","Switzerland","102320.6304000","Europe",20
"40221.726",616,"842172000000","679441900611","Poland","20938.2362200","Europe",21
"23950.214",158,"751930000000","0","Taiwan","31395.5441100","Asia",22
"11715.774",56,"627511000000","594104177540","Belgium","53561.2073100","Europe",23
"46057.866",32,"621833000000","487227125386","Argentina","13501.1248700","South America",24
"10673.669",752,"597110000000","635663801202","Sweden","55942.3381000","Europe",25
"5089.478",372,"589569000000","504182603276","Ireland","115840.7601000","Europe",26
"5514.477",578,"546768000000","482174854482","Norway","99151.3791800","Europe",27
"8977.139",40,"526182000000","480368403893","Austria","58613.5516000","Europe",28
"9311.652",376,"521688000000","481591279848","Israel","56025.2896000","Asia",29
"71885.799",764,"512193000000","505981759395","Thailand","7125.0929550","Asia",30
"9591.853",784,"509179000000","405467634042","United Arab Emirates","53084.5291300","Asia",31
"6052.709",702,"497347000000","396991824734","Singapore","82169.3228600","Asia",32
"174701.211",50,"446349000000","414906982979","Bangladesh","2554.9279110","Asia",33
"119106.224",608,"435675000000","394086419343","Philippines","3657.8692980","Asia",34
"99497.680",704,"433356000000","366137569132","Vietnam","4355.4382370","Asia",35
"34671.895",458,"430895000000","372701685894","Malaysia","12427.7891400","Asia",36
"5939.695",208,"420800000000","398303272764","Denmark","70845.3885300","Europe",37
"114484.252",818,"398397000000","425906125620","Egypt","3479.9284010","Africa",38
"229152.217",566,"390002000000","430923012150","Nigeria","1701.9342210","Africa",39
"7496.681",344,"385546000000","369174026308","Hong Kong","51428.8923300","Asia",40
"61020.221",710,"380906000000","419015636066","South Africa","6242.2913870","Africa",41
"89809.781",364,"366438000000","594891778653","Iran","4080.1569260","Asia",42
"52340.774",170,"363835000000","314464137241","Colombia","6951.2728260","South America",43
"19618.996",642,"350414000000","284086425638","Romania","17860.9547600","Europe",44
"19658.839",152,"344400000000","317058517567","Chile","17518.8372000","South America",45
"245209.815",586,"340636000000","342500755597","Pakistan","1389.1613600","Asia",46
"10503.734",203,"335243000000","281777887121","Czech Republic","31916.5546300","Europe",47
"5549.886",246,"305689000000","297301883523","Finland","55080.2304800","Europe",48
"10223.349",620,"276432000000","253663144586","Portugal","27039.2803800","Europe",49
"34683.444",604,"264636000000","223252136337","Peru","7630.0381240","South America",50
"19828.165",398,"259292000000","193018345533","Kazakhstan","13076.9539200","Europe",51
"46523.657",368,"254993000000","204004068373","Iraq","5480.9319910","Asia",52
"5269.939",554,"249415000000","250451266091","New Zealand","47327.8723000","Oceania",53
"10302.720",300,"242385000000","214873879834","Greece","23526.3115000","Europe",54
"2737.061",634,"235500000000","179570783551","Qatar","86041.1952800","Asia",55
"46278.751",12,"224107000000","163472801517","Algeria","4842.5464200","Africa",56
"9994.993",348,"203829000000","181848022234","Hungary","20393.1108300","Europe",57
"37937.821",804,"173413000000","200085615595","Ukraine","4570.9794460","Europe",58
"4349.380",414,"159687000000","136641925124","Kuwait","36714.8881000","Asia",59
"129719.719",231,"155804000000","99268512532","Ethiopia","1201.0818490","Africa",60
"38211.459",504,"147343000000","142866583125","Morocco","3855.9899010","Africa",61
