Date,Open,High,Low,Close,Volume
2019-01-01,131.9,140.51,130.67,139.61,3053350
2019-01-02,139.58,155.93,138.74,152.95,5511607
2019-01-03,152.96,154.3,144.39,146.94,4018093
2019-01-04,146.94,155.4,145.29,152.86,4923992
2019-01-05,152.87,159.78,152.84,153.49,4847379
2019-01-06,153.48,158.29,148.63,154.96,4231447
2019-01-07,154.96,156.36,148.47,149.96,2881293
2019-01-08,149.96,152.21,146.29,148.41,3041294
2019-01-09,148.41,152.57,147.95,148.79,2337410
2019-01-10,148.78,150.09,121.98,125.63,6481358
2019-01-11,125.61,127.83,121.28,125.15,3766462
2019-01-12,125.15,126.15,122.73,123.75,2206828
2019-01-13,123.75,124.09,112.79,114.64,2978349
2019-01-14,114.65,130.3,114.62,127.53,3862814
2019-01-15,127.55,129.6,116.9,119.62,4309296
2019-01-16,119.59,126.5,119.1,121.72,3829705
2019-01-17,121.71,123.03,117.51,122.03,3611353
2019-01-18,122.02,122.19,118.27,119.34,2590666
2019-01-19,119.34,125.37,119.34,123.02,3359939
2019-01-20,123.0,123.52,116.25,117.52,3927252
2019-01-21,117.52,118.04,114.15,116.05,4800225
2019-01-22,116.05,119.47,112.36,118.23,5108458
2019-01-23,118.23,119.01,115.52,116.84,4350863
2019-01-24,116.84,117.32,114.93,116.71,4382804
2019-01-25,116.7,117.41,115.03,115.5,4746841
2019-01-26,115.5,117.63,115.37,115.83,3482571
2019-01-27,115.83,116.24,112.03,112.5,4648427
2019-01-28,112.5,113.14,101.6,105.82,7451281
2019-01-29,105.82,107.32,102.89,104.79,5411071
2019-01-30,104.76,109.67,103.82,108.52,5950177
2019-01-31,108.51,110.56,105.86,106.71,5109551
2019-02-01,106.74,108.54,104.41,106.98,4978174
2019-02-02,106.99,111.16,106.29,110.68,4234775
2019-02-03,110.67,111.25,106.36,107.62,5008599
2019-02-04,107.63,109.24,106.95,107.9,5016223
2019-02-05,107.91,108.32,106.6,107.37,4666983
2019-02-06,107.37,107.67,102.28,104.63,6153615
2019-02-07,104.63,106.12,104.29,104.55,5047256
2019-02-08,104.55,122.58,103.89,119.23,9193506
2019-02-09,119.27,121.09,117.96,119.44,5206967
2019-02-10,119.44,125.46,116.42,124.92,6320589
2019-02-11,124.94,125.05,119.55,121.3,6134205
2019-02-12,121.32,123.99,119.28,122.64,5737547
2019-02-13,122.66,126.17,121.06,122.22,6170720
2019-02-14,122.21,124.46,120.44,120.97,5806810
2019-02-15,120.97,124.0,120.87,121.73,5687152
2019-02-16,121.72,124.5,121.71,122.87,5334298
2019-02-17,122.88,135.27,122.78,133.79,8667389
2019-02-18,133.79,147.64,125.07,145.8,11925906
2019-02-19,145.79,149.84,143.8,144.01,9902279
2019-02-20,144.02,149.46,140.88,149.11,8606458
2019-02-21,149.01,149.55,143.5,145.78,7212102
2019-02-22,145.79,148.83,144.27,147.97,6786471
2019-02-23,147.97,159.31,146.28,158.3,8310818
2019-02-24,158.31,165.79,132.87,132.93,14303156
2019-02-25,132.94,141.57,132.85,138.27,10547224
2019-02-26,138.26,138.66,134.48,136.67,11747992
2019-02-27,136.66,159.6,128.15,135.2,16108549
2019-02-28,135.2,138.56,133.09,135.47,16083705
2019-03-01,135.47,138.06,128.46,135.72,9725119
2019-03-02,135.72,136.36,130.74,132.76,11289962
2019-03-03,132.77,168.42,129.05,131.01,10643998
2019-03-04,131.02,131.57,123.25,125.97,14106157
2019-03-05,125.97,141.11,125.44,136.82,16737467
2019-03-06,136.82,149.49,133.94,137.62,14700459
2019-03-07,137.62,139.98,135.72,136.93,13292315
2019-03-08,136.93,139.45,131.66,133.85,12381533
2019-03-09,133.84,138.57,133.38,137.52,10786980
2019-03-10,137.52,137.75,134.53,135.72,9205365
2019-03-11,135.72,136.23,131.66,132.99,11172773
2019-03-12,132.99,134.93,129.14,133.8,13030790
2019-03-13,133.81,133.84,131.2,131.97,9588023
2019-03-14,131.97,134.82,130.48,132.45,9791921
2019-03-15,132.44,137.68,132.44,136.75,12554646
2019-03-16,136.77,143.95,136.75,141.15,16885616
2019-03-17,141.15,141.17,137.61,138.91,9789061
2019-03-18,138.91,141.87,136.86,137.92,12866496
2019-03-19,137.92,139.5,137.1,138.72,10839157
2019-03-20,138.72,139.75,136.56,139.31,10462548
2019-03-21,139.32,139.74,133.05,135.11,12949432
2019-03-22,135.11,137.44,134.65,136.42,10178186
2019-03-23,136.42,138.3,135.76,137.53,9162492
2019-03-24,137.53,137.53,135.5,136.44,9660876
2019-03-25,136.44,137.05,132.36,134.25,11488217
2019-03-26,134.25,134.99,132.61,134.37,9467391
2019-03-27,134.37,140.08,133.89,139.65,15471580
2019-03-28,139.63,140.33,137.68,138.15,9519301
2019-03-29,138.17,143.53,138.13,143.38,12091290
2019-03-30,143.38,145.85,140.43,142.65,12812841
2019-03-31,142.65,142.69,140.71,141.79,9330574
2019-04-01,141.77,143.28,140.26,141.5,11847685
2019-04-02,141.5,165.42,141.29,163.47,36028856
2019-04-03,163.47,177.29,152.24,160.34,47664172
2019-04-04,160.34,164.33,153.26,157.43,13551398
2019-04-05,157.43,167.34,156.42,164.93,10058546
2019-04-06,164.93,172.53,160.22,165.55,10369006
2019-04-07,165.58,175.37,164.17,174.33,9883754
2019-04-08,174.32,185.54,171.87,179.16,14826840
2019-04-09,179.16,179.24,172.15,175.09,10819979
2019-04-10,175.09,183.49,171.61,177.37,12102385
2019-04-11,177.39,177.63,159.6,164.36,11113093
2019-04-12,164.37,166.08,158.93,163.47,7122117
2019-04-13,163.46,165.27,161.34,163.19,5520702
2019-04-14,163.19,168.18,161.52,167.29,5891069
2019-04-15,167.3,168.63,153.65,160.17,7706068
2019-04-16,160.16,166.64,159.52,165.65,7659636
2019-04-17,165.61,167.21,164.26,165.9,7564131
2019-04-18,165.91,175.02,165.38,173.33,10155966
2019-04-19,173.34,173.41,169.15,172.79,9255652
2019-04-20,172.79,176.71,170.17,172.73,8191053
2019-04-21,172.89,173.42,164.81,168.52,8784909
2019-04-22,168.5,172.32,167.07,170.87,8615331
2019-04-23,170.87,175.92,169.01,169.95,10167139
2019-04-24,169.94,170.53,154.87,165.22,11608963
2019-04-25,165.23,165.81,151.73,155.18,10776777
2019-04-26,155.16,161.82,152.32,157.97,11522387
2019-04-27,157.96,161.95,156.74,159.41,8511608
2019-04-28,159.43,160.28,157.54,158.27,8276447
2019-04-29,158.3,159.16,152.6,154.93,10691757
