Date,Open,High,Low,Close,Percent_Change
2019-01-02,38.72,39.71,38.56,39.48,1.96
2019-01-03,35.99,36.43,35.5,35.55,-1.24
2019-01-04,36.13,37.14,35.95,37.06,2.58
2019-01-07,37.17,37.21,36.47,36.98,-0.52
2019-01-08,37.39,37.96,37.13,37.69,0.8
2019-01-09,37.82,38.63,37.41,38.33,1.34
2019-01-10,38.12,38.49,37.72,38.45,0.85
2019-01-11,38.22,38.42,37.88,38.07,-0.39
2019-01-14,37.71,37.82,37.3,37.5,-0.56
2019-01-15,37.57,38.35,37.51,38.27,1.86
2019-01-16,38.27,38.97,38.25,38.74,1.22
2019-01-17,38.55,39.42,38.31,38.97,1.08
2019-01-18,39.38,39.47,38.99,39.21,-0.43
2019-01-22,39.1,39.18,38.15,38.33,-1.99
2019-01-23,38.54,38.78,37.92,38.48,-0.15
2019-01-24,38.53,38.62,37.94,38.17,-0.91
2019-01-25,38.87,39.53,38.58,39.44,1.47
2019-01-28,38.95,39.08,38.42,39.08,0.33
2019-01-29,39.06,39.53,38.53,38.67,-1.0
2019-01-30,40.81,41.54,40.06,41.31,1.23
2019-01-31,41.53,42.25,41.14,41.61,0.2
2019-02-01,41.74,42.24,41.48,41.63,-0.26
2019-02-04,41.85,42.92,41.82,42.81,2.29
2019-02-05,43.22,43.77,43.09,43.54,0.76
2019-02-06,43.66,43.89,43.21,43.56,-0.23
2019-02-07,43.1,43.49,42.58,42.74,-0.85
2019-02-08,42.25,42.67,42.1,42.6,0.84
2019-02-11,42.76,42.8,42.31,42.36,-0.95
2019-02-12,42.53,42.75,42.42,42.72,0.46
2019-02-13,42.85,43.12,42.48,42.54,-0.71
2019-02-14,42.43,42.81,42.35,42.7,0.64
2019-02-15,42.81,42.92,42.44,42.6,-0.48
2019-02-19,42.43,42.86,42.37,42.73,0.72
2019-02-20,42.8,43.33,42.75,43.01,0.49
2019-02-21,42.95,43.09,42.58,42.76,-0.43
2019-02-22,42.9,43.25,42.85,43.24,0.81
2019-02-25,43.54,43.97,43.49,43.56,0.04
2019-02-26,43.43,43.83,43.29,43.58,0.36
2019-02-27,43.3,43.75,43.18,43.72,0.96
2019-02-28,43.58,43.73,43.23,43.29,-0.67
2019-03-01,43.57,43.79,43.22,43.74,0.4
2019-03-04,43.92,44.44,43.49,43.96,0.09
2019-03-05,43.99,44.0,43.63,43.88,-0.23
2019-03-06,43.67,43.87,43.49,43.63,-0.09
2019-03-07,43.47,43.61,43.01,43.12,-0.79
2019-03-08,42.58,43.27,42.38,43.23,1.52
2019-03-11,43.87,44.78,43.84,44.72,1.94
2019-03-12,45.0,45.67,44.84,45.23,0.51
2019-03-13,45.56,45.83,45.23,45.43,-0.3
2019-03-14,45.97,46.03,45.64,45.93,-0.09
2019-03-15,46.21,46.83,45.94,46.53,0.69
2019-03-18,46.45,47.1,46.45,47.01,1.19
2019-03-19,47.09,47.25,46.48,46.63,-0.97
2019-03-20,46.56,47.37,46.18,47.04,1.04
2019-03-21,47.51,49.08,47.45,48.77,2.67
2019-03-22,48.83,49.42,47.7,47.76,-2.2
2019-03-25,47.88,47.99,46.65,47.19,-1.45
2019-03-26,47.92,48.22,46.14,46.7,-2.54
2019-03-27,47.19,47.44,46.64,47.12,-0.15
2019-03-28,47.24,47.39,46.88,47.18,-0.12
2019-03-29,47.46,47.52,47.13,47.49,0.06
2019-04-01,47.91,47.92,47.1,47.81,-0.21
2019-04-02,47.77,48.62,47.76,48.51,1.53
2019-04-03,48.31,49.12,48.29,48.84,1.09
2019-04-04,48.7,49.09,48.28,48.92,0.46
2019-04-05,49.11,49.28,48.98,49.25,0.28
2019-04-08,49.1,50.06,49.08,50.03,1.87
2019-04-09,50.08,50.71,49.81,49.88,-0.41
2019-04-10,49.67,50.19,49.54,50.15,0.98
2019-04-11,50.21,50.25,49.61,49.74,-0.95
2019-04-12,49.8,50.04,49.05,49.72,-0.17
2019-04-15,49.64,49.96,49.5,49.81,0.33
2019-04-16,49.87,50.34,49.64,49.81,-0.11
2019-04-17,49.88,50.85,49.65,50.78,1.8
2019-04-18,50.78,51.04,50.63,50.96,0.36
2019-04-22,50.71,51.24,50.58,51.13,0.84
2019-04-23,51.11,51.94,50.97,51.87,1.49
2019-04-24,51.84,52.12,51.76,51.79,-0.1
2019-04-25,51.71,51.94,51.28,51.32,-0.75
2019-04-26,51.22,51.25,50.53,51.08,-0.29
2019-04-29,51.1,51.49,50.96,51.15,0.1
2019-04-30,50.76,50.85,49.78,50.17,-1.18
2019-05-01,52.47,53.83,52.31,52.63,0.3
2019-05-02,52.46,53.16,52.03,52.29,-0.33
2019-05-03,52.72,52.96,52.56,52.94,0.41
2019-05-06,51.07,52.21,50.88,52.12,2.05
2019-05-07,51.47,51.86,50.21,50.72,-1.47
2019-05-08,50.47,51.33,50.44,50.72,0.5
2019-05-09,50.1,50.42,49.17,50.18,0.16
2019-05-10,49.36,49.71,48.19,49.29,-0.12
2019-05-13,46.93,47.37,45.71,46.43,-1.06
2019-05-14,46.6,47.42,46.35,47.17,1.21
2019-05-15,46.57,47.94,46.51,47.73,2.5
2019-05-16,47.48,48.12,47.21,47.52,0.09
2019-05-17,46.73,47.72,46.69,47.25,1.11
2019-05-20,45.88,46.09,45.07,45.77,-0.23
2019-05-21,46.3,47.0,46.17,46.65,0.75
2019-05-22,46.17,46.43,45.64,45.7,-1.02
2019-05-23,44.95,45.13,44.45,44.92,-0.08
2019-05-24,45.05,45.54,44.65,44.74,-0.68
2019-05-28,44.73,45.15,44.48,44.56,-0.39
2019-05-29,44.1,44.84,44.0,44.35,0.54
2019-05-30,44.49,44.81,44.17,44.58,0.2
2019-05-31,44.06,44.5,43.75,43.77,-0.66
2019-06-03,43.9,44.48,42.57,43.33,-1.31
2019-06-04,43.86,44.96,43.63,44.91,2.39
2019-06-05,46.07,46.25,45.28,45.63,-0.94
2019-06-06,45.77,46.37,45.54,46.3,1.17
2019-06-07,46.63,47.98,46.44,47.54,1.95
2019-06-10,47.95,48.84,47.9,48.14,0.4
2019-06-11,48.72,49.0,48.4,48.7,-0.03
2019-06-12,48.49,48.99,48.35,48.55,0.12
2019-06-13,48.67,49.2,48.4,48.54,-0.28
2019-06-14,47.89,48.4,47.58,48.19,0.62
2019-06-17,48.22,48.74,48.04,48.47,0.51
2019-06-18,49.01,50.07,48.8,49.61,1.22
2019-06-19,49.92,49.97,49.33,49.47,-0.91
2019-06-20,50.09,50.15,49.51,49.87,-0.45
2019-06-21,49.7,50.21,49.54,49.7,-0.01
2019-06-24,49.63,50.04,49.54,49.64,0.02
2019-06-25,49.61,49.81,48.82,48.89,-1.44
2019-06-26,49.44,50.25,49.34,49.95,1.03
2019-06-27,50.07,50.39,49.89,49.94,-0.27
2019-06-28,49.67,49.88,49.26,49.48,-0.38
2019-07-01,50.79,51.12,50.16,50.39,-0.8
2019-07-02,50.35,50.78,50.34,50.68,0.66
2019-07-03,50.82,51.11,50.67,51.1,0.56
2019-07-05,50.84,51.27,50.72,51.06,0.43
2019-07-08,50.2,50.35,49.6,50.01,-0.39
2019-07-09,49.8,50.38,49.7,50.31,1.02
2019-07-10,50.46,50.93,50.39,50.81,0.68
2019-07-11,50.83,51.1,50.43,50.44,-0.77
2019-07-12,50.61,51.0,50.55,50.83,0.42
2019-07-15,51.02,51.47,51.0,51.3,0.55
2019-07-16,51.15,51.53,50.88,51.12,-0.04
2019-07-17,51.01,51.27,50.82,50.84,-0.34
2019-07-18,51.0,51.47,50.92,51.42,0.81
2019-07-19,51.45,51.62,50.59,50.65,-1.55
2019-07-22,50.91,51.81,50.9,51.8,1.75
2019-07-23,52.12,52.23,51.82,52.21,0.18
2019-07-24,51.92,52.29,51.79,52.17,0.48
2019-07-25,52.22,52.31,51.68,51.76,-0.9
2019-07-26,51.87,52.43,51.78,51.94,0.13
2019-07-29,52.12,52.66,52.11,52.42,0.59
2019-07-30,52.19,52.54,51.83,52.2,0.01
2019-07-31,54.1,55.34,52.83,53.26,-1.56
2019-08-01,53.47,54.51,51.69,52.11,-2.56
2019-08-02,51.38,51.61,50.41,51.01,-0.73
2019-08-05,49.5,49.66,48.14,48.33,-2.35
2019-08-06,49.08,49.52,48.51,49.25,0.35
2019-08-07,48.85,49.89,48.46,49.76,1.86
2019-08-08,50.05,50.88,49.85,50.86,1.61
2019-08-09,50.33,50.69,49.82,50.25,-0.15
2019-08-12,49.9,50.51,49.79,50.12,0.43
2019-08-13,50.26,53.04,50.12,52.24,3.95
2019-08-14,50.79,51.61,50.65,50.69,-0.2
2019-08-15,50.87,51.28,49.92,50.44,-0.85
2019-08-16,51.07,51.79,50.96,51.62,1.09
2019-08-19,52.65,53.18,52.51,52.59,-0.13
2019-08-20,52.72,53.34,52.58,52.59,-0.25
2019-08-21,53.25,53.41,52.9,53.16,-0.16
2019-08-22,53.3,53.61,52.69,53.12,-0.34
2019-08-23,52.36,53.01,50.25,50.66,-3.24
2019-08-26,51.46,51.8,51.26,51.62,0.31
2019-08-27,51.96,52.14,50.88,51.04,-1.78
2019-08-28,51.03,51.43,50.83,51.38,0.7
2019-08-29,52.12,52.33,51.67,52.25,0.24
2019-08-30,52.54,52.61,51.8,52.19,-0.68
2019-09-03,51.61,51.74,51.06,51.42,-0.35
2019-09-04,52.1,52.37,51.83,52.3,0.38
2019-09-05,53.0,53.49,52.88,53.32,0.6
2019-09-06,53.51,53.6,53.13,53.31,-0.37
2019-09-09,53.71,54.11,52.77,53.54,-0.31
2019-09-10,53.46,54.2,52.93,54.17,1.33
2019-09-11,54.52,55.93,54.43,55.9,2.53
2019-09-12,56.2,56.6,55.72,55.77,-0.76
2019-09-13,55.0,55.2,54.26,54.69,-0.57
2019-09-16,54.43,55.03,54.39,54.97,1.0
2019-09-17,54.99,55.21,54.78,55.17,0.34
2019-09-18,55.26,55.71,54.86,55.69,0.77
2019-09-19,55.5,55.94,55.09,55.24,-0.47
2019-09-20,55.35,55.64,54.37,54.43,-1.65
2019-09-23,54.74,54.96,54.41,54.68,-0.11
2019-09-24,55.26,55.62,54.3,54.42,-1.52
2019-09-25,54.64,55.38,54.28,55.26,1.13
2019-09-26,55.0,55.24,54.71,54.97,-0.05
2019-09-27,55.13,55.24,54.32,54.71,-0.78
2019-09-30,55.22,56.14,55.2,55.99,1.39
2019-10-01,56.27,57.06,56.05,56.15,-0.21
2019-10-02,55.76,55.9,54.48,54.74,-1.84
2019-10-03,54.61,55.24,53.78,55.21,1.09
2019-10-04,56.41,56.87,55.97,56.75,0.61
2019-10-07,56.57,57.48,56.46,56.76,0.35
2019-10-08,56.46,57.01,56.08,56.1,-0.63
2019-10-09,56.76,56.95,56.41,56.76,0.0
2019-10-10,56.98,57.61,56.83,57.52,0.95
2019-10-11,58.24,59.41,58.08,59.05,1.4
2019-10-14,58.72,59.53,58.67,58.97,0.41
