countries,Latitude,Longitude,pop2023,Number_of_Crypto_Ownership,gdpPerCapita
India,20.593684,78.96288,1428627663,103317638,2588.727619
China,35.86166,104.195397,1425671352,58187265,12420.12597
United States,37.09024,-95.712891,339996563,44959854,78842.89961
Vietnam,14.058324,108.277199,98858950,20301468,4355.438237
Pakistan,30.375321,69.345116,240485658,15400547,1389.16136
Philippines,12.879721,121.774017,117337368,15279906,3657.869298
Brazil,-14.235004,-51.92528,216422446,15113232,9772.268032
Nigeria,9.081999,8.675277,223804632,12862740,1701.934221
Indonesia,-0.789275,113.921327,277534122,12615365,5065.760841
Iran,32.427908,53.688046,89172767,12000000,4080.156926
Russia,61.52401,105.318756,144444359,8485749,12937.67568
Thailand,15.870032,100.992541,71801279,6692796,7125.092955
Saudi Arabia,23.885942,45.079162,36947025,6476813,28538.24055
South Africa,-30.559482,22.937506,60414495,6041450,6242.291387
Japan,36.204824,138.252924,123294513,5096970,34500.61645
Turkey,38.963745,35.243322,85816199,4684727,13385.05006
Mexico,23.634501,-102.552784,128455567,4356394,14000.24316
Bangladesh,23.684994,90.356331,172954319,4197718,2554.927911
France,46.227638,2.213749,64756584,3820638,46993.43406
Ukraine,48.379433,31.16558,36744634,3784697,4570.979446
United Kingdom,55.378051,-3.435973,67736802,3740280,49028.68522
Germany,51.165691,10.451526,83294633,3490926,53209.71002
Egypt,26.820553,30.802498,112716598,3326467,3479.928401
Venezuela,6.42375,-66.58973,28838499,2970365,3136.892406
Kenya,-0.023559,37.906193,55100586,2713117,2006.101806
United Arab Emirates,23.424076,53.847818,9516871,2633001,53084.52913
Argentina,-38.416097,-63.616672,45773884,2544102,13501.12487
Colombia,4.570868,-74.297333,52085168,2505605,6951.272826
South Korea,35.907757,127.766922,51784059,2059015,33033.72932
Morocco,31.791702,-7.09262,37840044,1854162,3855.989901
Congo,-4.038333,21.758664,6106869,1712781,639.1661741
Canada,56.130366,-106.346771,38781291,1608595,54154.17979
Tanzania,-6.369028,34.888822,67438106,1576608,1210.517461
Italy,41.87194,12.56738,58870762,1428685,37242.99864
Spain,40.463667,-3.74922,47519628,1425589,33324.99673
Nepal,28.394857,84.124008,30896590,1369467,1323.258104
Poland,51.919438,19.145136,41026067,1148730,20938.23622
Malaysia,4.210484,101.975766,34308525,1040179,12427.78914
Algeria,28.033886,1.659626,45606480,994441,4842.54642
Singapore,1.352083,103.819836,6014723,837851,82169.32286
Iraq,33.223191,43.679291,45504560,822055,5480.931991
Ghana,7.946527,-1.023194,34121985,738074,2203.377227
Australia,-25.274398,133.775136,26439111,705743,63211.33871
Ecuador,-1.831239,-78.183406,18190484,675156,6458.27011
Cambodia,12.565679,104.990963,16944826,565577,1807.223251
