Date,Open,High,Low,Close,Percent_Change
2019-01-02,50.83,52.62,50.79,52.29,2.88
2019-01-03,52.05,52.85,50.7,50.8,-2.4
2019-01-04,51.63,53.54,51.37,53.54,3.69
2019-01-07,53.58,53.7,52.74,53.42,-0.29
2019-01-08,53.81,54.23,53.03,53.81,0.02
2019-01-09,54.08,54.13,53.32,53.73,-0.65
2019-01-10,53.38,53.56,52.89,53.52,0.25
2019-01-11,53.16,53.19,52.42,52.86,-0.56
2019-01-14,52.35,52.58,52.06,52.23,-0.21
2019-01-15,52.51,54.0,52.37,53.86,2.57
2019-01-16,54.0,54.62,53.97,54.05,0.09
2019-01-17,53.97,54.59,53.67,54.49,0.97
2019-01-18,55.0,55.42,54.54,54.91,-0.16
2019-01-22,54.4,54.58,53.17,53.53,-1.61
2019-01-23,53.87,54.25,52.99,53.78,-0.17
2019-01-24,53.82,53.97,53.04,53.7,-0.24
2019-01-25,54.25,54.7,54.09,54.55,0.55
2019-01-28,54.01,54.15,53.19,53.5,-0.93
2019-01-29,53.63,53.76,52.79,53.03,-1.12
2019-01-30,53.42,54.55,53.34,54.45,1.93
2019-01-31,55.15,55.87,54.77,55.82,1.21
2019-02-01,55.62,56.25,55.24,55.54,-0.15
2019-02-04,55.63,56.64,55.45,56.64,1.81
2019-02-05,56.24,57.34,55.86,57.3,1.88
2019-02-06,56.98,57.35,55.64,55.76,-2.14
2019-02-07,55.21,55.24,54.3,54.94,-0.49
2019-02-08,54.35,54.95,54.33,54.75,0.74
2019-02-11,54.85,55.3,54.64,54.75,-0.18
2019-02-12,55.34,56.26,55.29,56.07,1.32
2019-02-13,56.25,56.74,55.92,56.01,-0.43
2019-02-14,55.9,56.41,55.52,56.08,0.32
2019-02-15,56.5,56.58,55.53,55.68,-1.45
2019-02-19,55.5,56.09,55.5,55.93,0.77
2019-02-20,56.0,56.17,55.26,55.69,-0.55
2019-02-21,55.54,55.6,54.63,54.85,-1.25
2019-02-22,55.04,55.56,54.78,55.52,0.86
2019-02-25,55.8,55.93,55.36,55.47,-0.59
2019-02-26,55.29,55.98,55.0,55.76,0.85
2019-02-27,55.35,55.9,55.05,55.8,0.82
2019-02-28,55.56,56.38,55.55,56.0,0.78
2019-03-01,56.24,57.15,56.24,57.05,1.43
2019-03-04,57.35,57.91,56.53,57.39,0.07
2019-03-05,57.5,58.48,57.31,58.1,1.04
2019-03-06,58.12,58.38,57.77,57.89,-0.4
2019-03-07,57.79,57.84,56.75,57.17,-1.07
