Date,Open,High,Low,Close,Percent_Change
2023-01-30,244.51,245.6,242.2,242.71,-0.74
2023-01-31,243.45,247.95,242.95,247.81,1.79
2023-02-01,248.0,255.18,245.47,252.75,1.92
2023-02-02,258.82,264.69,257.25,264.6,2.23
2023-02-03,259.54,264.2,257.1,258.35,-0.46
2023-02-06,257.44,258.3,254.78,256.77,-0.26
2023-02-07,260.53,268.77,260.08,267.56,2.7
2023-02-08,273.2,276.76,266.21,266.73,-2.37
2023-02-09,273.8,273.98,262.8,263.62,-3.72
2023-02-10,261.53,264.09,260.66,263.1,0.6
2023-02-13,267.64,274.6,267.15,271.32,1.37
2023-02-14,272.67,274.97,269.28,272.17,-0.18
2023-02-15,268.32,270.73,266.18,269.32,0.37
2023-02-16,264.02,266.74,261.9,262.15,-0.71
2023-02-17,259.39,260.09,256.0,258.06,-0.51
2023-02-21,254.48,255.49,251.59,252.67,-0.71
2023-02-22,254.09,254.34,250.34,251.51,-1.02
2023-02-23,255.56,256.84,250.48,254.77,-0.31
2023-02-24,249.96,251.0,248.1,249.22,-0.3
2023-02-27,252.46,252.82,249.39,250.16,-0.91
2023-02-28,249.07,251.49,248.73,249.42,0.14
2023-03-01,250.76,250.93,245.79,246.27,-1.79
2023-03-02,246.55,251.4,245.61,251.11,1.85
2023-03-03,252.19,255.62,251.39,255.29,1.23
2023-03-06,256.43,260.12,255.98,256.87,0.17
2023-03-07,256.3,257.69,253.39,254.15,-0.84
2023-03-08,254.04,254.54,250.81,253.7,-0.13
2023-03-09,255.82,259.56,251.58,252.32,-1.37
2023-03-10,251.08,252.79,247.6,248.59,-0.99
2023-03-13,247.4,257.91,245.73,253.92,2.64
2023-03-14,256.75,261.07,255.86,260.79,1.57
2023-03-15,259.98,266.48,259.21,265.44,2.1
2023-03-16,265.21,276.56,263.28,276.2,4.14
2023-03-17,278.26,283.33,276.32,279.43,0.42
2023-03-20,276.98,277.48,269.85,272.23,-1.71
2023-03-21,274.88,275.0,269.52,273.78,-0.4
2023-03-22,273.4,281.04,272.18,272.29,-0.41
2023-03-23,277.94,281.06,275.2,277.66,-0.1
2023-03-24,277.24,280.63,275.28,280.57,1.2
2023-03-27,280.5,281.46,275.52,276.38,-1.47
2023-03-28,275.79,276.14,272.05,275.23,-0.2
2023-03-29,278.96,281.14,278.41,280.51,0.56
2023-03-30,284.23,284.46,281.48,284.05,-0.06
2023-03-31,283.73,289.27,283.0,288.3,1.61
2023-04-03,286.52,288.27,283.95,287.23,0.25
2023-04-04,287.23,290.45,285.67,287.18,-0.02
2023-04-05,285.85,287.15,282.92,284.34,-0.53
2023-04-06,283.21,292.08,282.03,291.6,2.96
2023-04-10,289.21,289.6,284.71,289.39,0.06
2023-04-11,285.75,285.98,281.64,282.83,-1.02
2023-04-12,284.79,287.01,281.96,283.49,-0.46
2023-04-13,283.59,289.9,283.17,289.84,2.2
